,strain_id,strain,type,Rating,effects,description,Flavors
1838,1838,silver nina,hybrid,5.0,"creative, energetic, focused, happy, aroused","silver nina by colorado seed inc. is the stabilized cross of silver back and nina limone. like gupta kush, nina limone appears in many co seed inc. crosses due to its excellent flavor, aroma, and effects. this sweet, citrusy strain offers consumers a palpable stimulation without being overwhelming. the bright, powdery nuggets will also make this strain a tabletop show piece.",citrus
1834,1834,silver calyx,hybrid,5.0,"aroused, energetic, euphoric, focused, relaxed","silver calyx by calyx garden is a balanced hybrid created from potent and popular genetics. this strain is a cross of platinum calyx (a platinum gsc mashup) and a rogue seed found in a gg#4 bag. the sticky, trichome laden exterior makes silver calyx an apt name for this pungent flower. it has a classic gg#4 aroma full of earth and skunk, but also has a distant, sweet berry undertone. utilize silver calyx to help stave off headaches, minor physical discomfort, and insomnia. ","lemon, tree, fruit, pine"
1779,1779,royal tree sherbet,hybrid,5.0,relaxed,"sherbet by royal tree gardens is another genetically distinct strain under a familiar name. royal tree’s sherbet cut is close to the original, crossing an unknown purple cookies with platinum girl scout cookies. this twice-deep mixture of cookies genetics gives the plant a sweet, sugary aroma that is as alluring on the nose as it is on the palate. sherbet provides a clear-headed and uplifting mental state, and a pleasant terpene profile that is sure to excite novice and seasoned consumers alike.  ","tropical, sweet, berry"
1804,1804,scouts honor,hybrid,5.0,"relaxed, creative, giggly, talkative, uplifted","scout’s honor is an indica-dominant hybrid created by bert baccarat and produced by los angeles kush. this strain grows dense, resinous buds with sporadic purple foliage and a generous dusting of trichomes. scout’s honor is a cross of ogkb (og kush breath) and og kush, giving the strain a pungent, earthy aroma overlaid with a doughy sweetness. this savory and sweet strain stimulates the appetite while imbuing the consumer with weighted, euphoric relaxation. enjoy scout’s honor to help with stress, insomnia, and minor pain relief.  ","sweet, tropical, flowery"
1805,1805,scroopy noopers,hybrid,5.0,"euphoric, hungry, relaxed","scroopy noopers by green dream is a modern homage to fictional environmental activist and son of king flippy nips in the terrestrial tv sensation rick and morty. this strain was created by crossing girl scout cookies and stardawg, and it emits a pleasant and rich smell of coffee and cacao. its earthy terpene profile offers sweet aromas alongside a sharp, acrid undertone that gives the strain uniqueness and dimension. scroopy noopers’ deeply relaxing effects make it well-suited for consumers seeking to combat muscle spasms, pain, and general restlessness. ","pungent, coffee"
262,262,blood orange kush,indica,5.0,"sleepy, uplifted, euphoric, happy, creative","blood orange kush is an indica-dominant cross of, as of now, the unknown or unnamed genetics aota x pinecracker and an unnamed og. this plant has a bushy structure that doesn’t yield much, but the dense, trichome-covered nugs are prized for their bright terpene profile and heavy effects. blood orange kush emits a bouquet of gas and tart citrus that fills the room and coats the palate. its uplifting mental buzz and relaxing physical effects make blood orange kush a solid option for consumers looking to abate minor pain and elevate mood.  ","diesel, citrus, orange"
1809,1809,secret garden og,indica,5.0,"euphoric, talkative, uplifted, creative, energetic","secret garden og is a colorado seed inc. masterpiece. this og strain is incredibly relaxing and dedicated to kush fans everywhere. the blend of lavender parentage against a ghost og moonshine x rug burn og foretells the weight this strain applies to muscles throughout the body. with a unique aroma that leans toward the therapeutic, secret garden og offers a cozy sense of well-being that extends to mood elevation and pain relief.    ","flowery, lavender, honey"
258,258,blizzard bush,hybrid,5.0,"talkative, uplifted, creative, energetic, euphoric","blizzard bush by greenpoint seeds is a resinous hybrid cross of pura vida and stardawg. this beautiful strain’s copious coating of resin gives the plant’s lush foliage a diamond-like shimmer. it offers larger-than-average yields with creamy marshmallow aromas smeared with fuel and, oddly enough, cured meats. enjoy blizzard bush’s mood elevation and stress relief throughout the day to combat lethargy and depression.  ","flowery, earthy, pungent"
997,997,hawaiian trinity,hybrid,5.0,"talkative, uplifted, creative, euphoric, focused","hawaiian trinity by pua mana 1st hawaiian pakalolo seed bank is a sativa-dominant hybrid created by crossing the legendary kona gold and trinity. it has a unique terpene profile that smells like burnt rubber tires, tropically flavored taffy, and a hint of unnamable funkiness. this odd aroma gives way to tropical and earthy flavors that linger on the tongue well after exhale. hawaiian trinity sprouts large frosty colas and tends to offer consumers an intense physical rush that mellows out into a deeply sedating body high.  ","sweet, tropical, flowery"
1835,1835,silver cindy,hybrid,5.0,"aroused, uplifted, energetic, euphoric, happy","colorado seed inc. brings speedy effects and excessive trichome production to market with silver cindy, the hybrid cross of silver back and rebel god smoke. with stimulating effects and heady potency, this strain offers the consumer an aggressive sativa experience that lends itself to athletes, laborers, and outdoorsy types. as with rebel god smoke, this strain can be overstimulating for some, so mind your dosage. ",none
